揹包	背包
抖包袱	免洗笑話
利用不死图腾逃离死神	使用不死圖騰來逃避死亡
超越生死	超越生死
成功与一名村民进行交易	成功與村民進行交易
成交！	成交！
在建筑高度限制处与村民交易	在建築高度上限與村民交易
星际商人	星際貿易
将下列锻造模板都至少使用一次：尖塔、猪鼻、肋骨、监守、幽静、恼鬼、潮汐、向导	將下列鍛造模板都至少使用一次：旋塔、豬鼻、肋骨、伏守、寂靜、惱鬼、潮汐、嚮導
匠心独具	匠心獨具
在锻造台中合成带有纹饰的盔甲	使用鍛造台合成帶有紋樣的盔甲
旧貌锻新颜	鍛然一新
用一支穿透箭射杀两只幻翼	使用貫穿箭矢一次殺死兩隻夜魅
一箭双雕	一箭雙鵰
用试炼钥匙解锁宝库	用試煉鑰匙解鎖寶庫
珍藏密敛	妥善保管
对着磁石使用指南针	對磁石使用羅盤
天涯共此石	天涯共此石
雷击一名村民	以閃電制裁村民
魔女审判	非常驚世駭俗
杀死一名袭击队长。\n或许该考虑暂时远离村庄……	殺死突襲隊長。\n或許該考慮暫時離村莊遠一點...
自我放逐	自我放逐
在细雪上行走……并且不陷进去	在粉雪上行走... 並且不陷下去
轻功雪上飘	輕功雪上飄
使用风弹将自己向上弹射8格	使用風彈將自己向上彈射 8 格
还要啥火箭啊？	誰還需要火箭？
让掠夺者也尝尝弩的滋味	讓掠奪者自食其果
现在谁才是掠夺者？	現在誰才是掠奪者？
这里好像什么都没有……	這裡似乎什麼都沒有...
用玻璃瓶收集一些龙息	使用玻璃瓶取得龍之吐息
你需要来点薄荷糖	你需要降火氣
获得龙蛋	取得龍蛋
下一世代	銀河飛龍
找到鞘翅	找到鞘翅
天空即为极限	天下無難事
逃离这座岛屿	逃離這座島
远程折跃	逃向遠方
进去吧，又能发生什么呢？	進去吧，還能發生什麼事？
在游戏尽头的城市	終末都市
祝君好运	祝你好運
解放末地	解放終界
利用潜影贝的攻击向上飘浮50个方块	利用界伏蚌的攻擊向上飄浮50格
这上面的风景不错	上面的風景真好
复活末影龙	重生終界龍
结束了…再一次…	終界... 再臨...
抑或是起点？	或是新的開始？
末地	終界
让悦灵向音符盒投掷一块蛋糕	讓悅靈朝音階盒投出一個蛋糕
生日快乐歌	生日快樂歌
让悦灵向你投掷物品	讓悅靈遞送物品給你
找到一个好朋友	我是你好朋友
用铁桶捕获一只美西螈	用鐵桶捕捉一隻六角恐龍
最萌捕食者	最可愛的捕食者
尝遍天下食材，即便是对身体不好的	吃遍所有可以食用的東西，即使它們對你的身體有害
均衡饮食	均衡飲食
繁殖每种动物！	繁殖所有種類的動物！
成双成对	成雙成對
繁殖一对动物	促使動物繁殖
我从哪儿来？	送子鳥的禮物
驯服所有种类的猫！	馴服所有種類的貓！
百猫全书	貓科全書
喂食一只小嗅探兽	餵食一隻幼年嗅探獸
小小嗅探兽	小小嗅探獸
钓到一条鱼	捕獲一條魚
腥味十足的生意	關漁生意
在你的物品栏中集齐所有种类的蛙明灯	在你的物品欄中集齊所有種類的蛙光體
相映生辉！	同心協力！
与美西螈并肩作战并赢得胜利	和六角恐龍結盟並贏得一場戰鬥
友谊的治愈力！	療癒力滿點的友情！
用拴绳拴住所有种类的青蛙	用拴繩牽著所有種類的青蛙
呱呱队出动	蛙軍壓境
让任意种类告示牌上的文本发光	使任意種類告示牌上的文字發光
眼前一亮！	光輝奪目！
用下界合金锭升级一把锄，然后重新考虑你的人生抉择	使用獄髓錠升級一把鋤頭，然後重新衡量你的人生抉擇
终极奉献	敬業樂業
获得嗅探兽蛋	取得嗅探獸蛋
怪味蛋	逸聞趣事
将失水恶魂方块放在水中	將乾癟幽靈放入水中
补水保湿！	補水保濕！
种植任意嗅探兽种子	種植任意嗅探獸種子
播种往事	種種往事
种下种子，见证它的成长	種下一個種子並見證它的成長
开荒垦地	汗滴禾下土
用剪刀移除狼身上的狼铠	使用剪刀移除狼身上的狼鎧
华丽一剪	剪潔俐落
用犰狳鳞甲修复损坏的狼铠	使用犰狳鱗甲完全修復耗損的狼鎧
完好如初	復舊如新
与山羊同船共渡	與山羊一起乘船航行
羊帆起航！	飄羊過海！
世界无处没有朋友与美食	這個世界充滿朋友與食物
农牧业	農牧
利用营火在不惊动蜜蜂的情况下从蜂巢收集蜂蜜	使用營火以在不激怒蜜蜂的情況下用玻璃瓶從蜂窩中取得蜂蜜
与蜂共舞	待客蜂範
用精准采集移动住着3只蜜蜂的蜂巢或蜂箱	使用絲綢之觸來移動裡面有3隻蜜蜂的蜂窩或蜂箱
举巢搬迁	蜂裝物流
不用钓鱼竿抓住一条鱼！	釣魚... 不用釣竿！
战术性钓鱼	戰術性捕魚
用铁桶捕获一只蝌蚪	用鐵桶捕捉一隻蝌蚪
蚪到桶里来	通通進桶
驯服一只动物	馴服一隻動物
永恒的伙伴	永遠的好搭檔
给铜质方块脱蜡！	刮除銅方塊上的蠟！
脱蜡	除蠟
将蜜脾涂到铜质方块上！	為銅方塊塗上蜂蠟！
涂蜡	上蠟
驯服所有种类的狼	馴服所有種類的狼
群狼聚首	琳狼滿目
同时拥有所有状态效果	同時擁有所有狀態效果
为什么会变成这样呢？	我們是如何走到這地步的？
同时拥有所有药水效果	同時擁有所有藥水的效果
狂乱的鸡尾酒	猛烈的雞尾酒
酿造一瓶药水	釀造一瓶藥水
本地酿造厂	道地的釀造坊
为重生锚充满能量	將重生錨充滿能量
锚没有九条命	非言「九」命
建造并放置一个信标	建造及放置烽火台
带信标回家	為家庭帶來光明
让一座信标发挥最大功效	令烽火台全力運作
信标工程师	引導者
用金质物品让猪灵分神	用黃金使豬布林分心
金光闪闪	金光閃閃
探索所有下界生物群系	探索地獄所有的生態域
热门景点	熱門景點
利用下界移动对应主世界7千米的距离	利用地獄在主世界旅行至七公里外
曲速泡	子空間氣泡
进入堡垒遗迹	進入堡壘遺蹟
光辉岁月	今非昔比
用你的方式进入下界要塞	用自己的方式進入地獄要塞
阴森的要塞	可怕的要塞
获得凋灵骷髅的头颅	取得凋零骷髏的頭顱
惊悚恐怖骷髅头	詭異又恐怖的骷髏
掠夺堡垒遗迹里的箱子	掠奪一個堡壘遺蹟裡的儲物箱
战猪	戰豬
获得一整套下界合金盔甲	取得全套獄髓盔甲
残骸裹身	以瓦礫為壁壘
获得远古残骸	取得遠古遺骸
深藏不露	深藏不露
让烈焰人从烈焰棒中解放吧	讓烈焰使者從烈焰桿中解脫
与火共舞	與火共舞
获得哭泣的黑曜石	取得哭泣的黑曜石
谁在切洋葱？	是誰在切洋蔥？
用一团火球干掉一只恶魂	使用火球殺死地獄幽靈
见鬼去吧	以牙還牙
手持诡异菌钓竿骑乘炽足兽	利用扭曲蕈菇釣竿騎乘熾足獸
画船添足	行舟
带炽足兽在主世界的熔岩湖上来一场长——途旅行	在主世界的熔岩湖上和熾足獸來一段長～～途旅行
温暖如家	溫暖如家
记得带夏装	攜帶夏季服飾
下界	地獄
召唤凋灵	召喚凋零怪
凋零山庄	凋零山莊
从下界救出一只恶魂，将其安全地带到主世界……然后干掉它	將地獄幽靈從地獄安全的救回主世界 ... 然後讓它解脫
脆弱的同盟	不安的同盟
%s/%s	%s/%s
:(	:(
弱化并治疗一名僵尸村民	弱化並治好一位殭屍村民
僵尸科医生	殭屍醫生
用盾牌反弹一个弹射物	使用盾牌反彈投射物
不吃这套，谢谢	抱歉，今天不行
用附魔台附魔一样物品	使用附魔台附魔一件物品
附魔师	附魔師
进入末地传送门	進入終界傳送門
结束了？	結束了？
建造、激活并进入一座下界传送门	建造、點燃並進入地獄傳送門
勇往直下	我們必須更深入一點
跟随末影之眼	跟隨終界之眼
隔墙有眼	隔牆有眼
获得一块黑曜石	取得一塊黑曜石
冰桶挑战	冰桶挑戰
升级你的镐	升級你的鎬
这不是铁镐么	莫非這是鐵鎬
用铁桶装点熔岩	把熔岩裝進鐵桶
热腾腾的	火熱的東西
获得钻石	獲得鑽石
钻石！	鑽石！
用你的新镐挖掘石头	用你的新鎬子挖掘石頭
石器时代	石器時代
用铁盔甲来保护你自己	使用鐵製盔甲保護自己
整装上阵	整裝待發
游戏的核心与故事	遊戲的核心與故事
Minecraft	Minecraft
钻石盔甲能救人	鑽石盔甲救人一命
钻石护体	用鑽石包覆我
冶炼出一块铁锭	冶煉出鐵錠
来硬的	來硬的
制作一把更好的镐	製作一把更好的鎬
获得升级	獲取升級
挑战已完成！	挑戰達成！
目标已达成！	目標達成！
进度已达成！	進度達成！
无效的实体锚点%s	無效的實體錨點 %s
不完整（应有1个角度）	不完整（應有 1 個角度）
无效的角度	無效的角度
未知的方块类型“%s”	未知的方塊類型 '%s'
“%s”属性只能给%s设置一次	%2$s 方塊的屬性 '%1$s' 只能設定一次
%1$s的%3$s属性不能被设为“%2$s”	%s 方塊不接受以 '%s' 作為 %s 的屬性
方块%s上的属性“%s”必须要有值	%2$s 方塊的屬性 '%1$s' 應為值
方块属性应以]结束	方塊狀態屬性後應以 ] 結尾
方块%s没有属性“%s”	%s 方塊沒有屬性 '%s'
无法在此使用标签，只允许使用实际的方块	這裡無法使用標籤，只能用於實際方塊
未知的颜色“%s”	未知的顏色 '%s'
无效的聊天组件： %s	無效的聊天元件：%s
未知的准则“%s”	未知的條件 '%s'
未知的维度“%s”	未知的維度 '%s'
双精度浮点型数据不能大于%s，但发现了%s	倍精度浮點數不能多於 %s，但找到的是 %s
双精度浮点型数据不能小于%s，但发现了%s	倍精度浮點數不能少於 %s，但找到的是 %s
无效的名称或UUID	無效的名稱或 UUID
未找到实体	未找到任何實體
未找到玩家	未找到任何玩家
玩家拥有的进度	玩家擁有進度
与实体间的距离	與實體間的距離
距离不能为负	距離不能為負數
位于x与x+dx之间的实体	位於 x 和 x + dx 之間的實體
位于y与y+dy之间的实体	位於 y 和 y + dy 之間的實體
位于z与z+dz之间的实体	位於 z 和 z + dz 之間的實體
玩家的游戏模式	玩家於遊戲模式
“%s”选项不适用于这里	此處不適用 '%s' 選項
经验等级	經驗等級
等级不应该为负数	等級不應為負數
最大返回实体数	最大回傳實體數
限制必须至少为1	限制必須至少為 1
无效或未知的游戏模式“%s”	無效或未知的遊戲模式 '%s'
实体名称	實體名稱
实体所带的NBT	實體擁有 NBT
自定义谓词	自訂述詞
实体的分数	實體擁有分數
对实体排序	對實體進行排序
无效或未知的排序类型“%s”	無效或未知的排序類型 '%s'
实体所带的标签	實體擁有標籤
实体所在的队伍	實體於隊伍
实体类型	實體類型
无效或未知的实体类型“%s”	無效或未知的實體類型 '%s'
未知的选项“%s”	未知的選項 '%s'
选项的方括号不成对	選項應有結尾
选项“%s”应有值	選項 '%s' 應為數值
X轴位置	x 座標
实体的X轴旋转角度	實體的 x 軸方向
Y轴位置	y 座標
实体的Y轴旋转角度	實體的 y 軸方向
Z轴位置	z 座標
所有实体	所有實體
所有玩家	所有玩家
缺少选择器类型	缺少選擇器類型
距离最近的实体	最接近的實體
距离最近的玩家	最接近的玩家
不能使用选择器	選擇器無法使用
随机玩家	隨機玩家
当前实体	目前實體
未知的选择器类型“%s”	未知的選擇器類型 '%s'
只允许一个实体，但提供的选择器允许多个实体	僅接受單一實體，但提供的選擇器允許不只一個實體
无效的值“%s”	無效數值「%s」
浮点型数据不能大于%s，但发现了%s	單精度浮點數不能多於 %s，但找到的是 %s
浮点型数据不能小于%s，但发现了%s	單精度浮點數不能少於 %s，但找到的是 %s
未知的游戏模式：%s	未知的遊戲模式：%s
无效的十六进制颜色代码：“%s”	無效的十六進位顏色碼 '%s'
无效的ID	無效的 ID
未知的ID：%s	未知的 ID: %s
整型数据不能大于%s，但发现了%s	整數不能多於 %s，但找到的是 %s
整型数据不能小于%s，但发现了%s	整數不能少於 %s，但找到的是 %s
未知的物品“%s”	未知的物品 '%s'
无法在此使用标签，只允许使用实际的物品	這裡無法使用標籤，只能用於實際物品
应为字面量%s	應為字面值 %s
长整型数据不能大于%s，但发现了%s	長整數不能多於 %s，但找到的是 %s
长整型数据不能小于%s，但发现了%s	長整數不能少於 %s，但找到的是 %s
聊天消息过长（%s大于上限%s个字符）	聊天訊息過長（%s 大於最大值 %s 個字元）
无效的数组类型“%s”	無效的陣列類型 '%s'
无法将%s插入%s	無法將 %s 插入至 %s
应为复合标签	應為複合標籤
需要键	應為鍵值
需要值	應為數值
无法将%s插入%s的列表	無法將 %s 插入至清單 %s
多余的尾随数据	多餘的尾隨資料
只有玩家会受此命令的影响，但提供的选择器包括其他实体	只有玩家能受這條指令影響，但提供的選擇器包含了其他實體
只允许一名玩家，但提供的选择器允许多名玩家	僅接受單一玩家，但提供的選擇器允許不只一個玩家
该玩家不存在	該玩家不存在
应为一个坐标	應為座標
应为一个方块的位置	應為方塊座標
不能混用世界与局部坐标（必须全部用^或都不使用）	不能混用世界與局部座標（必須全部都用 ^ 或是完全不用）
该位置超出了允许的范围。	該位置位於允許的範圍外。
该位置已超出此世界！	該座標位於世界外！
该位置尚未被加载	該座標尚未載入
不完整（应有2个坐标）	不完整（應有 2 個座標）
不完整（应有3个坐标）	不完整（應有 3 個座標）
应为值或取值范围	應為數值或數值的範圍
只允许整数，不允许小数	只允許整數，不能為小數
最小值不能大于最大值	最小值不能大於最大值
元素“%s”的类型“%s”错误（应为“%s”）	元素 '%s' 擁有錯誤類型 '%s' （應為 '%s' ）
无法找到类型为“%2$s”的元素“%1$s”	無法找到類型為 '%2$s' 的元素 '%1$s'
解析结构失败：%s	無法剖析結構：%s
无效的ID或标签	無效的 ID 或標籤
无法在注册表“%2$s”中找到元素“%1$s”	無法在登錄 '%2$s' 中找到元素 '%1$s'
选择器“%s”和类型“%s”没有匹配项	選擇器 '%s' 與類型 '%s' 沒有相符的項目
标签“%s”的类型“%s”错误（应为“%s”）	標籤 '%s' 擁有錯誤類型 '%s' （應為 '%s' ）
无法找到类型为“%2$s”的标签“%1$s”	無法找到類型為 '%2$s' 的標籤 '%1$s'
找不到与分数关联的持有者	無法找到該分數相對應的持有者
未知的显示位置“%s”	未知的顯示區 '%s'
无效的样式：%s	無效的樣式：%s
刻数必须为非负数	刻數不可為負數
无效的单位	無效的單位
刻数不能小于%s，却发现了%s	刻數不能少於 %s，但找到的是 %s
无效的UUID	無效的 UUID
选择的实体不是路径点	選擇的實體不是路徑點
未知的方块标签“%s”	未知的方塊標籤 '%s'
未知的函数标签“%s”	未知的函數標籤 '%s'
未知的函数%s	未知的函數 %s
应为物品组件	應為物品元件
错误的“%s”组件：“%s”	錯誤的 '%s' 元件：'%s'
物品组件“%s”重复，只能指定一个值	物品元件 '%s' 重複，只能指定一個值
未知的物品组件“%s”	未知的物品元件 '%s'
错误的物品：“%s”	錯誤的物品：'%s'
%s只可以堆叠到%s	%s 只能堆疊至 %s
错误的“%s”谓词：“%s”	錯誤的 '%s' 述詞：'%s'
未知的物品谓词“%s”	未知的物品述詞 '%s'
未知的物品标签“%s”	未知的物品標籤 '%s'
无效的NBT路径元素	無效的 NBT 路徑元素
没有与%s相匹配的元素	找不到與 %s 相符的元素
生成的NBT嵌套过深	產生的 NBT 巢套過深
生成的NBT过大	產生的 NBT 過大
未知的记分项“%s”	未知的計分板目標 '%s'
记分项“%s”为只读类型	計分板目標 '%s' 是唯讀的
不能除以零	無法除以零
无效的操作	無效的操作
无效的坐标组合，需要“x”、“y”和“z”的组合	無效的搭配，應為 'x'、'y' 與 'z' 的組合
%s %s	%s %s
%s%% %s	%s%% %s
+%s %s	+%s %s
+%s%% %s	+%s%% %s
-%s %s	-%s %s
-%s%% %s	-%s%% %s
护甲值	盔甲
盔甲韧性	盔甲強度
攻击伤害	攻擊傷害
击退	擊退
攻击速度	攻擊速度
方块破坏速度	方塊破壞速度
方块交互距离	方塊互動距離
着火时间	燃燒時間
镜头距离	鏡頭距離
实体交互距离	實體互動距離
爆炸击退抗性	抗爆炸擊退
摔落伤害倍数	摔落傷害倍率
飞行速度	飛行速度
生物跟随距离	生物追蹤範圍
重力	重力
跳跃力度	跳躍力
击退抗性	抗擊退
幸运值	幸運
最大伤害吸收值	最大傷害吸收值
最大生命值	最高生命值
移动效率	移動效率
速度	速度
额外氧气	額外氧氣
安全摔落高度	安全摔落高度
尺寸	大小
最大行走高度	最大行走高度
水中移动效率	水中移動效率
马匹跳跃能力	馬跳躍力
挖掘效率	挖掘效率
潜行速度	潛行速度
水下挖掘速度	水中挖掘速度
横扫伤害比率	橫掃傷害率
僵尸增援	殭屍增援隊
生物引诱范围	生物引誘範圍
路径点接收距离	路徑點接收距離
路径点传输距离	路徑點傳輸距離
恶地	惡地
竹林	竹林
玄武岩三角洲	玄武岩三角洲
沙滩	沙灘
桦木森林	樺木森林
樱花树林	櫻花樹林
冷水海洋	寒冷海洋
绯红森林	緋紅森林
黑森林	黑森林
冷水深海	寒冷深海
深暗之域	深淵
冰冻深海	寒凍深海
温水深海	溫和深海
深海	深海
沙漠	沙漠
溶洞	鐘乳石洞窟
末地荒地	終界荒地
末地高地	終界高地
末地内陆	終界平地
风蚀恶地	侵蝕惡地
繁花森林	繁花森林
森林	森林
冻洋	寒凍海洋
冰封山峰	霜凍山峰
冻河	寒凍河流
雪林	雪林
冰刺之地	冰刺
尖峭山峰	尖峭山峰
丛林	叢林
温水海洋	溫和海洋
繁茂洞穴	蒼鬱洞窟
红树林沼泽	紅樹林沼澤
草甸	草甸
蘑菇岛	蘑菇地
下界荒地	地獄荒原
海洋	海洋
原始桦木森林	原生樺木森林
原始松木针叶林	原生松木針葉林
原始云杉针叶林	原生杉木針葉林
苍白之园	蒼白之園
平原	平原
河流	河流
热带草原	莽原
热带高原	莽原高地
末地小型岛屿	終界小島
积雪沙滩	冰雪沙灘
雪原	雪原
积雪山坡	雪坡
积雪针叶林	冰雪針葉林
灵魂沙峡谷	靈魂砂谷
稀疏丛林	稀疏叢林
裸岩山峰	裸岩山峰
石岸	石岸
向日葵平原	向日葵平原
沼泽	沼澤
针叶林	針葉林
虚空	虛空
暖水海洋	溫暖海洋
诡异森林	扭曲森林
风袭森林	風蝕森林
风袭沙砾丘陵	風蝕礫質丘陵
风袭丘陵	風蝕丘陵
风袭热带草原	風蝕莽原
疏林恶地	疏林惡地
金合欢木按钮	相思木按鈕
金合欢木门	相思木門
金合欢木栅栏	相思木柵欄
金合欢木栅栏门	相思木柵欄門
悬挂式金合欢木告示牌	懸掛式相思木告示牌
金合欢树叶	相思木樹葉
金合欢原木	相思木原木
金合欢木板	相思木材
金合欢木压力板	相思木壓力板
金合欢树苗	相思木樹苗
金合欢木展示架	相思木展示架
金合欢木告示牌	相思木告示牌
金合欢木台阶	相思木半磚
金合欢木楼梯	相思木階梯
金合欢木活板门	相思木地板門
墙上的悬挂式金合欢木告示牌	牆上的懸掛式相思木告示牌
墙上的金合欢木告示牌	牆上的相思木告示牌
金合欢木	相思木塊
激活铁轨	觸發鐵軌
空气	空氣
绒球葱	紫紅球花
紫水晶块	紫水晶方塊
紫水晶簇	紫水晶晶簇
远古残骸	遠古遺骸
安山岩	安山岩
安山岩台阶	安山岩半磚
安山岩楼梯	安山岩階梯
安山岩墙	安山岩牆
铁砧	鐵砧
结果的西瓜茎	連接的西瓜梗
结果的南瓜茎	連接的南瓜梗
杜鹃花丛	杜鵑叢
杜鹃树叶	杜鵑葉
蓝花美耳草	雛草
竹子	竹子
竹块	竹方塊
竹按钮	竹按鈕
竹门	竹門
竹栅栏	竹柵欄
竹栅栏门	竹柵欄門
悬挂式竹告示牌	懸掛式竹告示牌
竹马赛克	竹拼塊
竹马赛克台阶	竹拼半磚
竹马赛克楼梯	竹拼階梯
竹板	竹材
竹压力板	竹壓力板
竹笋	竹筍
竹展示架	竹展示架
竹告示牌	竹告示牌
竹台阶	竹半磚
竹楼梯	竹階梯
竹活板门	竹地板門
墙上的悬挂式竹告示牌	牆上的懸掛式竹告示牌
墙上的竹告示牌	牆上的竹告示牌
黑底	黑色基底
蓝底	藍色基底
棕底	棕色基底
青底	青色基底
灰底	灰色基底
绿底	綠色基底
淡蓝底	淺藍色基底
淡灰底	淺灰色基底
黄绿底	淺綠色基底
品红底	洋紅色基底
橙底	橙色基底
粉红底	粉紅色基底
紫底	紫色基底
红底	紅色基底
白底	白色基底
黄底	黃色基底
黑色方框边	黑色框邊
蓝色方框边	藍色框邊
棕色方框边	棕色框邊
青色方框边	青色框邊
灰色方框边	灰色框邊
绿色方框边	綠色框邊
淡蓝色方框边	淺藍色框邊
淡灰色方框边	淺灰色框邊
黄绿色方框边	淺綠色框邊
品红色方框边	洋紅色框邊
橙色方框边	橙色框邊
粉红色方框边	粉紅色框邊
紫色方框边	紫色框邊
红色方框边	紅色框邊
白色方框边	白色框邊
黄色方框边	黃色框邊
黑色砖纹	黑色磚牆花紋
蓝色砖纹	藍色磚牆花紋
棕色砖纹	棕色磚牆花紋
青色砖纹	青色磚牆花紋
灰色砖纹	灰色磚牆花紋
绿色砖纹	綠色磚牆花紋
淡蓝色砖纹	淺藍色磚牆花紋
淡灰色砖纹	淺灰色磚牆花紋
黄绿色砖纹	淺綠色磚牆花紋
品红色砖纹	洋紅色磚牆花紋
橙色砖纹	橙色磚牆花紋
粉红色砖纹	粉紅色磚牆花紋
紫色砖纹	紫色磚牆花紋
红色砖纹	紅色磚牆花紋
白色砖纹	白色磚牆花紋
黄色砖纹	黃色磚牆花紋
黑色圆形	黑色圓形
蓝色圆形	藍色圓形
棕色圆形	棕色圓形
青色圆形	青色圓形
灰色圆形	灰色圓形
绿色圆形	綠色圓形
淡蓝色圆形	淺藍色圓形
淡灰色圆形	淺灰色圓形
黄绿色圆形	淺綠色圓形
品红色圆形	洋紅色圓形
橙色圆形	橙色圓形
粉红色圆形	粉紅色圓形
紫色圆形	紫色圓形
红色圆形	紅色圓形
白色圆形	白色圓形
黄色圆形	黃色圓形
黑色苦力怕盾徽	黑色苦力怕圖紋
蓝色苦力怕盾徽	藍色苦力怕圖紋
棕色苦力怕盾徽	棕色苦力怕圖紋
青色苦力怕盾徽	青色苦力怕圖紋
灰色苦力怕盾徽	灰色苦力怕圖紋
绿色苦力怕盾徽	綠色苦力怕圖紋
淡蓝色苦力怕盾徽	淺藍色苦力怕圖紋
淡灰色苦力怕盾徽	淺灰色苦力怕圖紋
黄绿色苦力怕盾徽	淺綠色苦力怕圖紋
品红色苦力怕盾徽	洋紅色苦力怕圖紋
橙色苦力怕盾徽	橙色苦力怕圖紋
粉红色苦力怕盾徽	粉紅色苦力怕圖紋
紫色苦力怕盾徽	紫色苦力怕圖紋
红色苦力怕盾徽	紅色苦力怕圖紋
白色苦力怕盾徽	白色苦力怕圖紋
黄色苦力怕盾徽	黃色苦力怕圖紋
黑斜十字	黑色對角交叉
蓝斜十字	藍色對角交叉
棕斜十字	棕色對角交叉
青斜十字	青色對角交叉
灰斜十字	灰色對角交叉
绿斜十字	綠色對角交叉
淡蓝斜十字	淺藍色對角交叉
淡灰斜十字	淺灰色對角交叉
黄绿斜十字	淺綠色對角交叉
品红斜十字	洋紅色對角交叉
橙斜十字	橙色對角交叉
粉红斜十字	粉紅色對角交叉
紫斜十字	紫色對角交叉
红斜十字	紅色對角交叉
白斜十字	白色對角交叉
黄斜十字	黃色對角交叉
黑色波纹边	黑色鋸齒框邊
蓝色波纹边	藍色鋸齒框邊
棕色波纹边	棕色鋸齒框邊
青色波纹边	青色鋸齒框邊
灰色波纹边	灰色鋸齒框邊
绿色波纹边	綠色鋸齒框邊
